<NUMBER OF ZONES> 74
<TOTAL OD FLOW> 0.0
<END OF METADATA>


Origin  1  
1 :      0.0;    2 :      88.411859;    
74 :      0.000000;    

Origin  3  
3 :      0.0;    1 :      429.132615;    2 :      141.876515;    
4 :      0.000000;    5 :      0.000000;    6 :      293.030182;    
7 :      86.735261;    8 :      0.000000;    9 :      0.000000;    
10 :      328.052966;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      56.448644;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      1.216367;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.637112;    
55 :      0.000000;    56 :      0.000000;    57 :      1.171769;    
58 :      1.188371;    59 :      1.203878;    60 :      0.000000;    
61 :      1.056310;    62 :      0.347922;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.983357;    68 :      0.000000;    69 :      1.201608;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  4  
4 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  5  
5 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  6  
6 :      0.0;    1 :      84.454959;    2 :      22.423076;    
3 :      106.722206;    4 :      0.000000;    5 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      106.316150;    14 :      0.000000;    15 :      0.000000;    
16 :      65.166069;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      106.016419;    
22 :      157.359212;    23 :      12.823008;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      161.579707;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      132.747064;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      8.292230;    
43 :      2.570463;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      9.369562;    
49 :      1.041552;    50 :      12.365882;    51 :      0.000000;    
52 :      8.615666;    53 :      8.700023;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  7  
7 :      0.0;    1 :      958.415022;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  8  
8 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  9  
9 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  10  
10 :      0.0;    1 :      80.706026;    
2 :      415.388401;    3 :      99.744735;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      88.358821;    14 :      0.000000;    
15 :      0.000000;    16 :      81.975975;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      25.669026;    
21 :      76.605900;    22 :      19.769334;    23 :      52.577635;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      19.614736;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      19.639500;    
36 :      17.304792;    37 :      19.268826;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      6.006089;    43 :      2.244254;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      6.602870;    49 :      0.996734;    50 :      7.851885;    
51 :      0.000000;    52 :      6.204577;    53 :      6.208439;    
54 :      2.899469;    55 :      0.000000;    56 :      0.000000;    
57 :      11.731290;    58 :      13.587740;    59 :      20.288449;    
60 :      0.000000;    61 :      7.818838;    62 :      0.502671;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      6.908471;    68 :      0.000000;    
69 :      17.927334;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  11  
11 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  12  
12 :      0.0;    1 :      9.020802;    2 :      0.000000;    
3 :      44.484294;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  13  
13 :      0.0;    1 :      0.000000;    
2 :      15.554919;    3 :      71.312057;    4 :      0.000000;    
5 :      0.000000;    6 :      45.644692;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      46.073957;    
11 :      0.000000;    12 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  14  
14 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  15  
15 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  16  
16 :      0.0;    1 :      31.227664;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      48.404228;    
11 :      0.000000;    12 :      0.000000;    13 :      173.372874;    
14 :      0.000000;    15 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      13.403435;    
21 :      1141.439190;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      8.126425;    58 :      8.795016;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  17  
17 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  18  
18 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
