<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 24											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 76											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	34	39	13512.00155	6	6	0.15	4	0	0	1	;
	34	40	4854.917717	4	4	0.15	4	0	0	1	;
	34	41	4993.510694	8	8	0.15	4	0	0	1	;
	35	28	4908.82673	6	6	0.15	4	0	0	1	;
	35	34	10000	5	5	0.15	4	0	0	1	;
	35	36	4908.82673	6	6	0.15	4	0	0	1	;
	35	38	4876.508287	4	4	0.15	4	0	0	1	;
	36	27	23403.47319	4	4	0.15	4	0	0	1	;
	36	35	4908.82673	6	6	0.15	4	0	0	1	;
	36	37	25900.20064	3	3	0.15	4	0	0	1	;
	37	36	25900.20064	3	3	0.15	4	0	0	1	;
	37	48	5091.256152	4	4	0.15	4	0	0	1	;
	38	35	4876.508287	4	4	0.15	4	0	0	1	;
	38	39	5127.526119	5	5	0.15	4	0	0	1	;
	38	47	4924.790605	4	4	0.15	4	0	0	1	;
	39	34	13512.00155	6	6	0.15	4	0	0	1	;
	39	38	5127.526119	5	5	0.15	4	0	0	1	;
	39	43	14564.75315	3	3	0.15	4	0	0	1	;
	39	46	9599.180565	3	3	0.15	4	0	0	1	;
	40	32	5045.822583	5	5	0.15	4	0	0	1	;
	40	34	4854.917717	4	4	0.15	4	0	0	1	;
	40	41	5229.910063	2	2	0.15	4	0	0	1	;
	40	42	19679.89671	3	3	0.15	4	0	0	1	;
	41	34	4993.510694	8	8	0.15	4	0	0	1	;
	41	40	5229.910063	2	2	0.15	4	0	0	1	;
	41	43	4823.950831	2	2	0.15	4	0	0	1	;
	42	31	23403.47319	2	2	0.15	4	0	0	1	;
	42	40	19679.89671	3	3	0.15	4	0	0	1	;
	42	44	23403.47319	4	4	0.15	4	0	0	1	;
	43	39	14564.75315	3	3	0.15	4	0	0	1	;
	43	41	4823.950831	2	2	0.15	4	0	0	1	;
	43	44	5002.607563	4	4	0.15	4	0	0	1	;
	44	42	23403.47319	4	4	0.15	4	0	0	1	;
	44	43	5002.607563	4	4	0.15	4	0	0	1	;
	44	45	5059.91234	6	6	0.15	4	0	0	1	;
	44	46	5075.697193	5	5	0.15	4	0	0	1	;
	45	44	5059.91234	6	6	0.15	4	0	0	1	;
	45	46	5229.910063	2	2	0.15	4	0	0	1	;
	45	48	4885.357564	3	3	0.15	4	0	0	1	;
	46	39	9599.180565	3	3	0.15	4	0	0	1	;
	46	44	5075.697193	5	5	0.15	4	0	0	1	;
	46	45	5229.910063	2	2	0.15	4	0	0	1	;
	46	47	5000	4	4	0.15	4	0	0	1	;
	47	38	4924.790605	4	4	0.15	4	0	0	1	;
	47	46	5000	4	4	0.15	4	0	0	1	;
	47	48	5078.508436	2	2	0.15	4	0	0	1	;
	48	37	5091.256152	4	4	0.15	4	0	0	1	;
	48	45	4885.357564	3	3	0.15	4	0	0	1	;
	48	47	5078.508436	2	2	0.15	4	0	0	1	;
